Q19974182,[britischer Seefahrer und Entdecker]
Q707415,[nordirischer Schriftsteller]
Q576668,[englischer Musiker]
Q887987,[König der Amurriter, Person im fünften Buch Mose]
Q43811,[deutscher Politiker (CSU), MdL]
Q99955340,[angolanischer Fußballspieler]
Q349703,[kamerunischer Sänger]
Q106633231,[deutsche Schauspielerin]
Q106729649,[US-amerikanischer Comicautor und -zeichner]
Q107020036,[britischer Sänger und Komponist]
Q101067855,[britischer Mountainbiker]
Q1484316,[deutscher Klavierbauer]
Q106601330,[deutscher Zirkusgründer]
Q106584345,[deutscher Moderator]
Q623178,[paraguayischer Dichter und Schriftsteller]
Q55997681,[deutscher Papierhistoriker und Wasserzeichenforscher]
Q17748118,[deutscher Buchbinder, Archäologe und NS-Funktionär]
Q55194300,[Abt des Klosters Zinna]
Q106667236,[US-amerikanischer Pokerspieler]
Q106583087,[deutsche Pädagogin und Psychologin]
Q107030856,[deutsche Gerechte unter den Völkern]
Q3076602,[japanischer Maler]
Q742148,[britischer Philosoph]
Q24398939,[US-amerikanischer Journalist des National Public Radio (NPR)]
Q106762433,[bildende Künstlerin]
Q95229694,[österreichischer Filmschaffender]
Q106564056,[preußischer Jurist]
Q94838092,[deutscher Geistlicher, Schriftsteller und Historiker]
Q106619169,[Schweizer römisch-katholischer Geistlicher]
Q106653086,[Schweizer römisch-katholischer Geistlicher]
Q106750434,[Schweizer römisch-katholischer Geistlicher und Abt]
Q107313513,[preußischer Beamter]
Q55887485,[preussischer Beamter und Numismatiker]
Q107185633,[deutscher römisch-katholischer Geistlicher]
Q107100797,[preussischer Regierungspräsident]
Q107041971,[preußischer Landrat]
Q107367984,[deutscher Gutsbesitzer und Gelehrter]
Q2551176,[deutsche Adelige]
Q2975479,[schottischer Fußballspieler]
Q106904127,[deutscher Ingenieur]
Q106634427,[deutsche Fachanwältin für Familienrecht, Diplom-Psychologin und ehemalige Richterin am Niedersächsischen Staatsgerichtshof]
Q94937354,[deutscher Grafiker, Maler, Zeichner, Karikaturist und Illustrator]
Q7177109,[deutsch-US-amerikanischer Stadtgründer]
Q90881940,[türkisch-deutscher Fußballspieler]
Q107330955,[deutscher Wirtschaftswissenschaftler]
Q5145117,[britischer Webvideoproduzent und Erfinder]
Q18543541,[deutscher Nationalökonom]
Q97588180,[deutsche Kinderbuchschriftstellerin und Jugendbuchschriftstellerin]
Q107207828,[deutscher Fußballspieler und -trainer]
Q107313254,[deutscher Tontechniker und Musikproduzent]
Q2966264,[französischer Unternehmensleiter und Politiker]
Q106574161,[deutscher Fußballspieler]
Q107368575,[deutsche Bürgerrechtsaktivistin, Frauenrechtlerin und Autorin]
Q107025445,[deutscher Unternehmer, Europäischer Wirtschaftssenator und Fachbuchautor]
Q107075831,[deutsch-französische Sängerin, Songwriterin und Buchautorin]
Q107234008,[deutscher Militär im Fürstentum Braunschweig-Wolfenbüttel und Beamter]
Q7411285,[britischer Mathematiker und Amateurastronom]
Q107066807,[deutscher Moderator, Journalist und Webvideoproduzent]
Q85711077,[US-amerikanische Schauspielerin]
Q63357567,[Schweizer Physikerin und Hochschullehrerin]
Q2388652,[russischer Revolutionär]
Q95197445,[deutsche Künstlerin und Hochschullehrerin]
Q106713140,[chinesischer Maler]
Q2663882,[US-amerikanischer Politikwissenschaftler]
Q4440813,[ russischer Achitekt unter Peter dem Großen]
Q107066808,[österreichischer Musiker und audiovisueller Künstler]
Q106762431,[deutscher Motorsportjournalist]
Q107095602,[deutsche Stand-Up-Comedienne und Moderatorin]
Q6490294,[ amerikanischer Cartoonist in Hongkong]
Q107123823,[deutscher Pädagoge]
